time_idx,Real,predict
9985,0.031,0.007
9986,0.032,0.024
9987,0.024,0.011
9988,0.022,0.009
9989,0.034,0.001
9990,0.033,-0.003
9991,0.015,-0.002
9992,0.226,0.139
9993,0.079,0.23
9994,0.83,1.284
9995,0.113,0.158
9996,0.054,0.149
9997,0.071,0.095
9998,0.121,0.111
9999,0.095,0.149
10000,0.053,0.281
10001,0.079,0.44
10002,0.633,0.376
10003,0.347,0.367
10004,0.392,0.383
10005,0.363,0.34
10006,0.225,0.234
10007,0.034,0.015
10008,0.028,0.027
10009,0.03,0.02
10010,0.03,0.019
10011,0.034,0.018
10012,0.032,0.018
10013,0.012,0.007
10014,0.033,0.021
10015,0.034,0.02
10016,0.248,0.244
10017,0.392,0.089
10018,0.355,0.987
10019,0.028,0.106
10020,0.036,0.405
10021,0.161,0.049
10022,0.035,0.092
10023,0.096,0.066
10024,0.06,0.732
10025,0.048,0.967
10026,0.904,0.397
10027,0.544,0.429
10028,0.425,0.399
10029,0.427,0.529
10030,0.347,0.241
10031,0.762,0.012
10032,0.03,0.014
10033,0.017,0.019
10034,0.028,0.021
10035,0.036,0.022
10036,0.035,0.014
10037,0.025,0.025
10038,0.022,0.023
10039,0.036,0.247
10040,0.033,1.06
10041,0.222,0.424
10042,0.085,0.112
10043,0.866,0.06
10044,0.062,0.107
10045,0.064,0.066
10046,0.108,0.06
10047,0.092,0.102
10048,0.143,0.383
10049,0.08,0.719
10050,0.966,0.416
10051,0.391,0.364
10052,0.359,0.366
10053,0.351,0.344
10054,0.684,0.253
10055,0.03,0.032
10056,0.031,0.018
10057,0.031,0.021
10058,0.034,0.018
10059,0.036,0.019
10060,0.023,0.019
10061,0.025,0.008
10062,0.035,0.019
10063,0.265,0.04
10064,0.895,0.252
10065,0.243,0.072
10066,0.144,0.239
10067,0.039,0.71
10068,0.727,0.298
10069,0.16,0.2
10070,0.127,0.13
10071,0.078,0.099
10072,0.072,0.096
10073,0.181,0.393
10074,0.309,0.425
10075,0.369,0.357
10076,0.338,0.38
10077,0.336,0.463
10078,0.657,0.183
10079,0.032,0.007
10080,0.03,0.013
10081,0.032,0.019
10082,0.032,0.015
10083,0.035,0.016
10084,0.025,0.018
10085,0.022,0.009
10086,0.033,0.026
10087,0.347,0.015
10088,0.426,0.302
10089,0.07,0.138
10090,0.032,1.159
10091,0.031,0.125
10092,0.032,0.265
10093,0.026,0.148
10094,0.088,0.109
10095,0.04,0.098
10096,0.042,0.294
10097,0.066,0.504
10098,0.4,0.381
10099,0.342,0.346
10100,0.353,0.412
10101,0.346,0.352
10102,0.347,0.263
10103,0.315,0.023
10104,0.03,0.023
10105,0.032,0.014
10106,0.032,0.022
10107,0.036,0.013
10108,0.025,0.022
10109,0.022,0.008
10110,0.035,0.022
10111,0.035,0.008
10112,0.265,0.236
10113,0.071,0.186
10114,0.294,0.948
10115,0.066,0.121
10116,0.132,0.386
10117,0.052,0.148
10118,0.044,0.099
10119,0.062,0.075
10120,0.087,0.15
10121,0.042,0.426
10122,1.025,0.443
10123,0.385,0.348
10124,0.349,0.385
10125,0.348,0.402
10126,0.305,0.288
10127,0.032,0.047
10128,0.023,0.013
10129,0.023,0.016
10130,0.023,0.016
10131,0.028,0.018
10132,0.025,0.021
10133,0.026,0.01
10134,0.002,0.028
10135,0.027,0.008
10136,0.09,0.261
10137,0.242,0.384
10138,0.263,0.867
10139,0.791,0.111
10140,0.353,0.163
10141,0.428,0.149
10142,0.037,0.143
10143,0.118,0.099
10144,0.076,0.157
10145,0.256,0.497
10146,0.957,0.462
10147,0.371,0.356
10148,0.359,0.37
10149,0.342,0.387
10150,0.485,0.3
10151,0.202,0.13
10152,0.022,0.014
