time_idx,Real,predict
9985,0.093,0.027
9986,0.11,0.021
9987,0.016,0.024
9988,0.06,0.029
9989,0.099,0.042
9990,0.035,0.109
9991,0.321,0.252
9992,0.547,0.37
9993,0.303,0.323
9994,0.326,0.288
9995,0.163,0.284
9996,0.284,0.286
9997,0.166,0.285
9998,0.212,0.283
9999,0.189,0.284
10000,0.264,0.293
10001,0.389,0.313
10002,0.359,0.346
10003,0.35,0.382
10004,0.37,0.4
10005,0.346,0.397
10006,0.399,0.376
10007,0.295,0.324
10008,0.177,0.227
10009,0.027,0.074
10010,0.077,0.026
10011,0.017,0.031
10012,0.089,0.039
10013,0.016,0.039
10014,0.106,0.048
10015,0.124,0.102
10016,0.196,0.144
10017,0.194,0.153
10018,0.195,0.149
10019,0.203,0.169
10020,0.169,0.201
10021,0.219,0.231
10022,0.197,0.247
10023,0.17,0.253
10024,0.221,0.259
10025,0.194,0.269
10026,0.282,0.288
10027,0.433,0.331
10028,0.438,0.401
10029,0.418,0.468
10030,0.566,0.529
10031,0.407,0.565
10032,0.31,0.519
10033,0.116,0.359
10034,0.035,0.123
10035,0.096,0.0
10036,0.118,-0.007
10037,0.018,-0.006
10038,0.097,-0.004
10039,0.5,-0.011
10040,0.536,-0.012
10041,0.1,-0.001
10042,0.253,0.004
10043,1.035,0.0
10044,1.519,-0.004
10045,1.727,-0.004
10046,1.06,-0.001
10047,0.791,0.002
10048,0.438,0.002
10049,0.913,0.001
10050,0.989,-0.0
10051,0.671,-0.0
10052,1.084,0.0
10053,0.516,-0.001
10054,0.794,-0.002
10055,1.192,-0.003
10056,0.594,-0.003
10057,0.017,-0.004
10058,0.081,-0.005
10059,0.032,-0.006
10060,0.052,-0.006
10061,0.059,-0.007
10062,0.037,-0.008
10063,0.194,-0.008
10064,1.231,-0.009
10065,0.309,-0.009
10066,0.739,-0.01
10067,0.254,-0.01
10068,0.129,-0.011
10069,0.134,-0.011
10070,0.236,-0.011
10071,0.204,-0.012
10072,0.181,-0.012
10073,0.393,-0.012
10074,0.427,-0.012
10075,0.494,-0.012
10076,0.598,-0.012
10077,1.928,-0.012
10078,1.694,-0.012
10079,0.817,-0.012
10080,0.545,-0.012
10081,0.072,-0.012
10082,0.032,-0.012
10083,0.12,-0.012
10084,0.043,-0.012
10085,0.038,-0.012
10086,0.142,-0.012
10087,0.191,-0.011
10088,0.258,-0.011
10089,0.176,-0.011
10090,0.289,-0.011
10091,0.254,-0.01
10092,0.197,-0.01
10093,0.833,-0.01
10094,1.469,-0.009
10095,1.162,-0.009
10096,0.483,-0.009
10097,0.131,-0.008
10098,0.42,-0.008
10099,0.421,-0.008
10100,0.646,-0.007
10101,0.338,-0.007
10102,0.394,-0.006
10103,0.369,-0.006
10104,0.151,-0.005
10105,0.0,-0.005
10106,0.0,-0.004
10107,0.0,-0.004
10108,0.0,-0.003
10109,0.0,-0.003
10110,0.0,-0.002
10111,0.0,-0.001
10112,0.0,-0.001
10113,0.0,-0.0
10114,0.0,0.001
10115,0.0,0.001
10116,0.0,0.002
10117,0.0,0.003
10118,0.0,0.003
10119,0.0,0.004
10120,0.0,0.005
10121,0.0,0.006
10122,0.0,0.007
10123,0.0,0.008
10124,0.0,0.009
10125,0.0,0.01
10126,0.0,0.011
10127,0.0,0.012
10128,0.03,0.013
10129,0.068,0.014
10130,0.043,0.015
10131,0.041,0.017
10132,0.07,0.018
10133,0.016,0.02
10134,0.111,0.021
10135,0.119,0.023
10136,0.238,0.025
10137,0.442,0.028
10138,0.25,0.03
10139,0.16,0.033
10140,0.13,0.036
10141,0.197,0.041
10142,0.2,0.045
10143,0.203,0.052
10144,0.196,0.06
10145,0.192,0.071
10146,0.316,0.088
10147,0.415,0.115
10148,0.554,0.157
10149,2.103,0.211
10150,1.771,0.268
10151,1.129,0.338
10152,0.193,0.476
