time_idx,Real,predict
9985,0.199,0.236
9986,0.177,0.182
9987,0.179,0.175
9988,0.174,0.171
9989,0.175,0.174
9990,0.176,0.172
9991,0.288,0.177
9992,0.316,0.202
9993,0.179,0.258
9994,0.255,0.295
9995,0.178,0.289
9996,0.176,0.273
9997,0.177,0.241
9998,0.177,0.223
9999,0.179,0.229
10000,0.176,0.272
10001,0.472,0.37
10002,1.485,0.463
10003,1.261,0.691
10004,1.27,0.788
10005,0.606,0.695
10006,0.517,0.667
10007,0.515,0.62
10008,0.551,0.533
10009,0.22,0.3
10010,0.183,0.186
10011,0.179,0.173
10012,0.176,0.171
10013,0.175,0.171
10014,0.179,0.17
10015,0.179,0.181
10016,0.179,0.218
10017,0.177,0.282
10018,0.34,0.299
10019,0.188,0.297
10020,0.175,0.273
10021,0.173,0.246
10022,0.172,0.228
10023,0.174,0.238
10024,0.175,0.286
10025,0.172,0.377
10026,0.513,0.458
10027,0.704,0.63
10028,0.998,0.654
10029,0.614,0.611
10030,0.575,0.65
10031,0.572,0.618
10032,0.601,0.523
10033,0.224,0.236
10034,0.18,0.187
10035,0.178,0.171
10036,0.174,0.173
10037,0.176,0.171
10038,0.177,0.171
10039,0.179,0.181
10040,0.181,0.218
10041,0.302,0.281
10042,0.397,0.296
10043,0.224,0.294
10044,0.221,0.268
10045,0.391,0.242
10046,0.322,0.226
10047,0.283,0.238
10048,0.28,0.291
10049,0.28,0.394
10050,0.504,0.5
10051,0.405,0.726
10052,1.065,0.754
10053,0.586,0.676
10054,0.527,0.658
10055,0.505,0.608
10056,0.502,0.507
10057,0.375,0.238
10058,0.199,0.189
10059,0.186,0.171
10060,0.186,0.174
10061,0.186,0.171
10062,0.182,0.172
10063,0.18,0.186
10064,0.198,0.231
10065,0.347,0.292
10066,0.196,0.298
10067,0.188,0.297
10068,0.182,0.266
10069,0.245,0.242
10070,0.1,0.228
10071,0.144,0.245
10072,0.179,0.302
10073,0.391,0.399
10074,0.998,0.498
10075,1.219,0.673
10076,0.926,0.651
10077,0.455,0.629
10078,0.432,0.644
10079,0.492,0.595
10080,0.229,0.493
10081,0.185,0.201
10082,0.185,0.182
10083,0.184,0.169
10084,0.195,0.173
10085,0.193,0.171
10086,0.192,0.172
10087,0.374,0.187
10088,0.209,0.232
10089,0.194,0.292
10090,0.198,0.295
10091,0.321,0.294
10092,0.238,0.263
10093,0.21,0.24
10094,0.451,0.227
10095,0.17,0.246
10096,0.251,0.309
10097,0.308,0.413
10098,0.565,0.554
10099,0.805,0.778
10100,1.019,0.747
10101,0.627,0.678
10102,0.508,0.647
10103,0.506,0.591
10104,0.324,0.474
10105,0.19,0.205
10106,0.181,0.186
10107,0.181,0.169
10108,0.178,0.175
10109,0.179,0.171
10110,0.176,0.174
10111,0.189,0.193
10112,1.456,0.246
10113,0.387,0.299
10114,0.199,0.299
10115,0.327,0.294
10116,0.18,0.262
10117,0.18,0.24
10118,0.175,0.23
10119,0.179,0.254
10120,0.171,0.32
10121,0.239,0.415
10122,0.301,0.543
10123,0.372,0.697
10124,0.542,0.639
10125,0.53,0.64
10126,0.492,0.635
10127,0.501,0.571
10128,0.568,0.451
10129,0.224,0.187
10130,0.18,0.177
10131,0.179,0.168
10132,0.178,0.172
10133,0.179,0.171
10134,0.177,0.173
10135,0.178,0.193
10136,0.186,0.247
10137,0.377,0.296
10138,0.221,0.295
10139,0.307,0.29
10140,0.228,0.257
10141,0.211,0.236
10142,0.209,0.228
10143,0.218,0.255
10144,0.228,0.329
10145,0.32,0.43
10146,0.392,0.616
10147,0.593,0.83
10148,0.746,0.742
10149,0.688,0.677
10150,0.691,0.636
10151,0.535,0.573
10152,0.278,0.431
