time_idx,Real,predict
9985,0.131,0.137
9986,0.097,0.094
9987,0.093,0.095
9988,0.089,0.092
9989,0.087,0.08
9990,0.127,0.11
9991,0.178,0.143
9992,0.183,0.176
9993,0.201,0.165
9994,0.446,0.272
9995,0.438,0.399
9996,0.661,0.431
9997,0.579,0.444
9998,0.522,0.771
9999,0.559,0.538
10000,0.557,0.449
10001,0.575,0.414
10002,0.72,0.395
10003,0.327,0.479
10004,0.44,0.564
10005,0.731,0.352
10006,0.702,0.271
10007,0.35,0.323
10008,0.275,0.42
10009,0.269,0.226
10010,0.111,0.108
10011,0.096,0.099
10012,0.1,0.091
10013,0.106,0.092
10014,0.122,0.096
10015,0.151,0.127
10016,0.181,0.163
10017,0.575,0.179
10018,0.464,0.163
10019,0.674,0.312
10020,0.553,0.401
10021,0.437,0.352
10022,0.607,0.472
10023,0.48,0.711
10024,0.207,0.717
10025,0.33,0.689
10026,0.555,0.651
10027,0.63,0.786
10028,0.696,0.733
10029,0.685,0.377
10030,0.626,0.284
10031,0.398,0.311
10032,0.212,0.388
10033,0.096,0.222
10034,0.098,0.099
10035,0.091,0.1
10036,0.087,0.094
10037,0.093,0.102
10038,0.134,0.089
10039,0.17,0.114
10040,0.37,0.178
10041,0.322,0.193
10042,0.49,0.172
10043,0.637,0.326
10044,0.559,0.474
10045,0.426,0.605
10046,0.316,0.327
10047,0.19,0.251
10048,0.177,0.234
10049,0.176,0.29
10050,0.482,0.525
10051,0.715,0.595
10052,0.686,1.059
10053,0.692,0.734
10054,0.503,0.348
10055,0.268,0.417
10056,0.095,0.24
10057,0.092,0.1
10058,0.098,0.095
10059,0.09,0.09
10060,0.092,0.095
10061,0.095,0.092
10062,0.127,0.103
10063,0.176,0.108
10064,0.173,0.291
10065,0.41,0.329
10066,0.414,0.401
10067,0.6,0.471
10068,0.624,0.606
10069,0.623,0.541
10070,0.636,0.536
10071,0.547,0.414
10072,0.572,0.361
10073,0.486,0.496
10074,0.52,0.62
10075,1.305,0.406
10076,0.646,0.331
10077,0.522,0.45
10078,0.551,0.562
10079,0.37,0.397
10080,0.244,0.213
10081,0.171,0.134
10082,0.101,0.098
10083,0.102,0.09
10084,0.107,0.092
10085,0.091,0.091
10086,0.127,0.103
10087,0.165,0.117
10088,0.172,0.165
10089,0.176,0.168
10090,0.465,0.172
10091,0.639,0.396
10092,0.502,0.396
10093,0.51,0.248
10094,0.686,0.424
10095,0.38,0.663
10096,0.568,0.703
10097,0.512,0.758
10098,0.462,0.676
10099,0.338,0.737
10100,0.296,0.726
10101,0.296,0.516
10102,0.301,0.357
10103,0.517,0.447
10104,0.533,0.691
10105,0.188,0.703
10106,0.096,0.267
10107,0.096,0.129
10108,0.093,0.101
10109,0.089,0.096
10110,0.12,0.098
10111,0.169,0.085
10112,0.453,0.122
10113,0.439,0.177
10114,0.684,0.186
10115,0.427,0.165
10116,0.231,0.302
10117,0.204,0.464
10118,0.182,0.617
10119,0.337,0.33
10120,0.396,0.248
10121,0.513,0.244
10122,0.853,0.31
10123,1.495,0.52
10124,0.871,0.597
10125,0.847,1.027
10126,0.875,0.733
10127,0.747,0.354
10128,0.327,0.427
10129,0.117,0.252
10130,0.102,0.106
10131,0.233,0.095
10132,0.1,0.091
10133,0.095,0.094
10134,0.121,0.089
10135,0.162,0.103
10136,0.307,0.105
10137,0.351,0.236
10138,0.358,0.403
10139,0.233,0.321
10140,0.203,0.487
10141,0.325,0.592
10142,0.963,0.538
10143,0.303,0.812
10144,0.373,0.52
10145,0.732,0.414
10146,1.32,0.543
10147,0.593,0.655
10148,0.712,0.482
10149,0.711,0.404
10150,0.671,0.556
10151,0.384,0.601
10152,0.12,0.498
