time_idx,Real,predict
9985,0.046,0.076
9986,0.14,0.077
9987,0.14,0.08
9988,0.096,0.077
9989,0.152,0.071
9990,0.141,0.063
9991,0.122,0.057
9992,0.046,0.052
9993,0.046,0.056
9994,0.046,0.089
9995,0.046,0.14
9996,0.175,0.121
9997,0.16,0.106
9998,0.163,0.106
9999,0.109,0.1
10000,0.103,0.103
10001,0.208,0.107
10002,0.141,0.118
10003,0.227,0.13
10004,0.155,0.144
10005,0.126,0.156
10006,0.21,0.168
10007,0.111,0.177
10008,0.105,0.134
10009,0.0,0.12
10010,0.067,0.105
10011,0.09,0.088
10012,0.145,0.074
10013,0.07,0.068
10014,0.071,0.068
10015,0.071,0.069
10016,0.071,0.067
10017,0.071,0.065
10018,0.07,0.067
10019,0.268,0.081
10020,0.104,0.126
10021,0.158,0.176
10022,0.097,0.158
10023,0.077,0.133
10024,0.059,0.124
10025,0.181,0.12
10026,0.158,0.121
10027,0.109,0.131
10028,0.101,0.148
10029,0.189,0.168
10030,0.187,0.19
10031,0.184,0.21
10032,0.181,0.211
10033,0.014,0.103
10034,0.013,0.072
10035,0.013,0.08
10036,0.014,0.122
10037,0.013,0.113
10038,0.013,0.066
10039,0.014,0.058
10040,0.013,0.088
10041,0.013,0.13
10042,0.014,0.042
10043,0.143,0.048
10044,0.089,0.095
10045,0.073,0.15
10046,0.094,0.054
10047,0.231,0.064
10048,0.305,0.133
10049,0.213,0.19
10050,0.24,0.148
10051,0.221,0.109
10052,0.218,0.163
10053,0.335,0.188
10054,0.214,0.186
10055,0.123,0.115
10056,0.097,0.18
10057,0.271,0.055
10058,0.227,0.066
10059,0.081,0.062
10060,0.081,0.06
10061,0.169,0.055
10062,0.183,0.057
10063,0.055,0.057
10064,0.054,0.077
10065,0.054,0.094
10066,0.271,0.142
10067,0.138,0.099
10068,0.007,0.048
10069,0.0,0.037
10070,0.125,0.068
10071,0.086,0.136
10072,0.107,0.095
10073,0.012,0.046
10074,0.12,0.064
10075,0.067,0.1
10076,0.171,0.152
10077,0.02,0.149
10078,0.146,0.144
10079,0.17,0.151
10080,0.12,0.208
10081,0.091,0.13
10082,0.077,0.098
10083,0.013,0.069
10084,0.014,0.056
10085,0.013,0.053
10086,0.013,0.049
10087,0.013,0.045
10088,0.013,0.046
10089,0.013,0.055
10090,0.014,0.072
10091,0.133,0.093
10092,0.096,0.109
10093,0.141,0.113
10094,0.17,0.11
10095,0.013,0.111
10096,0.121,0.116
10097,0.008,0.12
10098,0.131,0.122
10099,0.088,0.123
10100,0.273,0.123
10101,0.069,0.125
10102,0.108,0.137
10103,0.163,0.152
10104,0.085,0.055
10105,0.046,0.054
10106,0.155,0.055
10107,0.106,0.047
10108,0.046,0.041
10109,0.045,0.035
10110,0.045,0.032
10111,0.046,0.027
10112,0.045,0.026
10113,0.182,0.023
10114,0.168,0.027
10115,0.101,0.026
10116,0.101,0.046
10117,0.01,0.059
10118,0.0,0.122
10119,0.101,0.128
10120,0.158,0.088
10121,0.016,0.051
10122,0.286,0.052
10123,0.121,0.077
10124,0.153,0.122
10125,0.065,0.099
10126,0.199,0.068
10127,0.368,0.075
10128,0.425,0.12
10129,0.387,0.098
10130,0.222,0.132
10131,0.329,0.136
10132,0.246,0.108
10133,0.24,0.085
10134,0.241,0.065
10135,0.244,0.059
10136,0.239,0.071
10137,0.24,0.081
10138,0.3,0.077
10139,0.363,0.068
10140,0.43,0.06
10141,0.285,0.061
10142,0.275,0.069
10143,0.222,0.076
10144,0.293,0.077
10145,0.299,0.075
10146,0.257,0.073
10147,0.258,0.072
10148,0.219,0.075
10149,0.331,0.079
10150,0.259,0.082
10151,0.3,0.082
10152,0.11,0.074
