time_idx,Real,predict
9985,0.064,0.088
9986,0.099,0.089
9987,0.07,0.086
9988,0.083,0.085
9989,0.083,0.084
9990,0.069,0.085
9991,0.098,0.078
9992,0.054,0.084
9993,0.102,0.103
9994,0.067,0.145
9995,0.086,0.124
9996,0.085,0.068
9997,0.082,0.11
9998,0.095,0.095
9999,0.073,0.184
10000,0.245,0.287
10001,0.251,0.308
10002,0.372,0.353
10003,0.305,0.327
10004,0.366,0.209
10005,0.309,0.09
10006,0.377,0.078
10007,0.136,0.085
10008,0.074,0.162
10009,0.09,0.26
10010,0.064,0.059
10011,0.102,0.116
10012,0.058,0.051
10013,0.105,0.118
10014,0.071,0.064
10015,0.081,0.102
10016,0.084,0.07
10017,0.07,0.095
10018,0.105,0.144
10019,0.063,0.081
10020,0.11,0.102
10021,0.127,0.065
10022,1.039,0.23
10023,0.274,0.15
10024,0.439,0.239
10025,0.253,0.297
10026,0.252,0.417
10027,0.329,0.311
10028,0.289,0.184
10029,0.402,0.197
10030,0.308,0.282
10031,0.133,0.26
10032,0.098,0.256
10033,0.061,0.145
10034,0.101,0.095
10035,0.064,0.063
10036,0.086,0.103
10037,0.08,0.067
10038,0.069,0.094
10039,0.095,0.072
10040,0.053,0.091
10041,0.1,0.074
10042,0.287,0.104
10043,0.144,0.148
10044,0.154,0.217
10045,0.086,0.175
10046,0.198,0.206
10047,0.103,0.185
10048,0.226,0.201
10049,0.115,0.222
10050,0.342,0.231
10051,0.318,0.316
10052,0.402,0.323
10053,0.346,0.338
10054,0.351,0.333
10055,0.333,0.318
10056,0.335,0.275
10057,0.082,0.181
10058,0.081,0.089
10059,0.061,0.076
10060,0.095,0.095
10061,0.051,0.068
10062,0.107,0.103
10063,0.059,0.062
10064,0.137,0.12
10065,0.224,0.077
10066,0.102,0.155
10067,0.076,0.15
10068,0.123,0.162
10069,0.031,0.163
10070,0.047,0.14
10071,0.055,0.148
10072,0.035,0.078
10073,0.059,0.072
10074,0.018,0.083
10075,0.066,0.092
10076,0.026,0.105
10077,0.05,0.281
10078,0.043,0.317
10079,0.041,0.32
10080,0.059,0.33
10081,0.019,0.286
10082,0.064,0.115
10083,0.024,0.092
10084,0.051,0.08
10085,0.039,0.088
10086,0.034,0.077
10087,0.056,0.09
10088,0.019,0.072
10089,0.061,0.098
10090,0.025,0.062
10091,0.048,0.128
10092,0.041,0.083
10093,0.033,0.151
10094,0.056,0.077
10095,0.017,0.137
10096,0.063,0.072
10097,0.031,0.125
10098,0.043,0.142
10099,0.047,0.161
10100,0.025,0.18
10101,0.057,0.318
10102,0.02,0.335
10103,0.045,0.335
10104,0.038,0.316
10105,0.031,0.093
10106,0.056,0.088
10107,0.014,0.086
10108,0.056,0.079
10109,0.033,0.09
10110,0.036,0.077
10111,0.051,0.08
10112,0.017,0.086
10113,0.059,0.076
10114,0.029,0.129
10115,0.041,0.085
10116,0.047,0.08
10117,0.024,0.108
10118,0.057,0.114
10119,0.023,0.126
10120,0.046,0.159
10121,0.042,0.17
10122,0.027,0.222
10123,0.057,0.262
10124,0.018,0.307
10125,0.049,0.334
10126,0.039,0.327
10127,0.027,0.312
10128,0.053,0.223
10129,0.009,0.094
10130,0.055,0.09
10131,0.034,0.072
10132,0.034,0.09
10133,0.052,0.077
10134,0.017,0.09
10135,0.057,0.079
10136,0.026,0.086
10137,0.043,0.079
10138,0.041,0.084
10139,0.019,0.084
10140,0.055,0.094
10141,0.015,0.105
10142,0.055,0.108
10143,0.034,0.108
10144,0.035,0.11
10145,0.051,0.142
10146,0.015,0.215
10147,0.057,0.401
10148,0.028,0.337
10149,0.04,0.377
10150,0.039,0.389
10151,0.018,0.318
10152,0.033,0.228
