time_idx,Real,predict
9985,0.58,0.41
9986,0.592,0.339
9987,0.226,0.193
9988,0.115,0.13
9989,0.134,0.138
9990,0.124,0.163
9991,0.338,0.254
9992,0.267,0.286
9993,0.256,0.347
9994,0.396,0.382
9995,0.349,0.393
9996,0.622,0.428
9997,0.624,0.434
9998,0.349,0.451
9999,0.371,0.519
10000,0.428,0.473
10001,0.306,0.35
10002,0.315,0.385
10003,0.293,0.356
10004,0.207,0.353
10005,0.416,0.346
10006,0.266,0.359
10007,0.211,0.462
10008,0.213,0.489
10009,0.203,0.382
10010,0.211,0.31
10011,0.668,0.179
10012,0.118,0.126
10013,0.096,0.135
10014,0.199,0.16
10015,0.201,0.248
10016,0.399,0.282
10017,0.511,0.345
10018,0.831,0.38
10019,0.329,0.392
10020,0.284,0.427
10021,0.36,0.434
10022,0.583,0.45
10023,1.227,0.518
10024,0.221,0.473
10025,0.31,0.35
10026,0.351,0.385
10027,0.449,0.356
10028,0.474,0.353
10029,0.301,0.346
10030,0.399,0.359
10031,0.412,0.462
10032,0.309,0.489
10033,0.232,0.382
10034,0.226,0.31
10035,0.421,0.179
10036,0.306,0.126
10037,0.239,0.135
10038,0.186,0.16
10039,0.272,0.248
10040,0.343,0.282
10041,0.387,0.345
10042,0.293,0.38
10043,0.374,0.392
10044,0.387,0.427
10045,1.335,0.434
10046,1.273,0.45
10047,0.577,0.518
10048,0.367,0.473
10049,0.492,0.35
10050,0.556,0.385
10051,0.617,0.356
10052,0.573,0.353
10053,0.426,0.346
10054,0.433,0.359
10055,0.302,0.462
10056,0.393,0.489
10057,0.224,0.382
10058,0.133,0.31
10059,0.121,0.179
10060,0.132,0.126
10061,0.124,0.135
10062,0.131,0.16
10063,0.123,0.248
10064,0.108,0.282
10065,0.424,0.345
10066,0.255,0.38
10067,0.34,0.392
10068,0.324,0.427
10069,0.291,0.434
10070,0.333,0.45
10071,1.17,0.518
10072,0.565,0.473
10073,0.564,0.35
10074,0.677,0.385
10075,0.711,0.356
10076,0.593,0.353
10077,0.533,0.346
10078,0.619,0.359
10079,0.369,0.462
10080,0.394,0.489
10081,0.459,0.382
10082,0.228,0.31
10083,0.164,0.179
10084,0.158,0.126
10085,0.13,0.135
10086,0.119,0.16
10087,0.127,0.248
10088,0.423,0.282
10089,0.279,0.345
10090,0.341,0.38
10091,0.43,0.392
10092,0.347,0.427
10093,0.36,0.434
10094,0.353,0.45
10095,0.322,0.518
10096,0.776,0.473
10097,0.44,0.35
10098,0.266,0.385
10099,1.601,0.356
10100,0.475,0.353
10101,0.305,0.346
10102,0.408,0.359
10103,0.344,0.462
10104,0.238,0.489
10105,0.225,0.382
10106,0.165,0.31
10107,0.115,0.179
10108,0.109,0.126
10109,0.178,0.135
10110,0.206,0.16
10111,0.2,0.248
10112,0.33,0.282
10113,0.271,0.345
10114,0.313,0.38
10115,1.228,0.392
10116,0.437,0.427
10117,0.42,0.434
10118,0.467,0.45
10119,0.458,0.518
10120,1.084,0.473
10121,0.652,0.35
10122,0.603,0.385
10123,0.389,0.356
10124,0.535,0.353
10125,0.492,0.346
10126,0.265,0.359
10127,0.459,0.462
10128,0.431,0.489
10129,0.169,0.382
10130,0.171,0.31
10131,0.149,0.179
10132,0.118,0.126
10133,0.12,0.135
10134,0.116,0.16
10135,0.287,0.248
10136,0.146,0.282
10137,0.348,0.345
10138,0.312,0.38
10139,0.379,0.392
10140,0.277,0.427
10141,0.663,0.434
10142,0.345,0.45
10143,0.33,0.518
10144,0.477,0.473
10145,0.695,0.35
10146,0.554,0.385
10147,0.668,0.356
10148,0.57,0.353
10149,0.639,0.346
10150,0.666,0.359
10151,0.641,0.462
10152,0.417,0.489
