time_idx,Real,predict
9985,0.504,0.392
9986,0.516,0.361
9987,0.515,0.337
9988,0.512,0.316
9989,0.17,0.298
9990,0.177,0.286
9991,0.174,0.283
9992,0.171,0.291
9993,0.203,0.318
9994,1.154,0.385
9995,0.435,0.475
9996,0.102,0.494
9997,0.228,0.518
9998,0.456,0.539
9999,1.115,0.504
10000,0.968,0.473
10001,0.749,0.469
10002,0.372,0.492
10003,0.348,0.521
10004,0.472,0.532
10005,1.043,0.526
10006,0.637,0.507
10007,0.276,0.47
10008,0.441,0.419
10009,0.491,0.37
10010,0.444,0.332
10011,0.429,0.304
10012,0.442,0.282
10013,0.199,0.265
10014,0.097,0.256
10015,0.104,0.254
10016,0.078,0.265
10017,0.106,0.305
10018,0.385,0.412
10019,0.892,0.46
10020,1.287,0.465
10021,0.224,0.49
10022,0.607,0.48
10023,0.602,0.439
10024,0.516,0.421
10025,0.288,0.442
10026,0.229,0.485
10027,0.578,0.521
10028,1.264,0.531
10029,1.043,0.525
10030,0.53,0.512
10031,0.255,0.489
10032,0.241,0.448
10033,0.343,0.399
10034,0.341,0.354
10035,0.342,0.32
10036,0.34,0.295
10037,0.301,0.275
10038,0.272,0.261
10039,0.493,0.255
10040,0.306,0.259
10041,0.315,0.28
10042,0.214,0.346
10043,0.516,0.451
10044,0.485,0.461
10045,0.402,0.477
10046,0.392,0.496
10047,0.411,0.463
10048,0.452,0.43
10049,0.903,0.429
10050,1.176,0.462
10051,0.437,0.505
10052,0.496,0.528
10053,0.294,0.53
10054,0.306,0.52
10055,0.244,0.503
10056,0.217,0.472
10057,0.19,0.425
10058,0.17,0.376
10059,0.171,0.337
10060,0.171,0.307
10061,0.169,0.285
10062,0.163,0.268
10063,0.302,0.258
10064,0.273,0.256
10065,0.814,0.266
10066,0.572,0.302
10067,1.083,0.404
10068,0.329,0.462
10069,0.08,0.465
10070,0.141,0.49
10071,0.23,0.485
10072,0.772,0.444
10073,0.417,0.424
10074,0.439,0.441
10075,0.542,0.483
10076,0.755,0.519
10077,0.363,0.531
10078,0.375,0.526
10079,0.656,0.513
10080,0.526,0.49
10081,0.506,0.451
10082,0.182,0.401
10083,0.162,0.356
10084,0.159,0.322
10085,0.157,0.296
10086,0.158,0.276
10087,0.158,0.262
10088,0.397,0.256
10089,0.246,0.259
10090,0.485,0.278
10091,0.389,0.341
10092,0.379,0.449
10093,0.348,0.461
10094,0.879,0.476
10095,0.306,0.497
10096,0.275,0.466
10097,1.247,0.431
10098,0.586,0.429
10099,1.098,0.46
10100,0.634,0.503
10101,0.576,0.528
10102,1.223,0.53
10103,0.54,0.521
10104,0.553,0.504
10105,0.52,0.473
10106,0.398,0.427
10107,0.285,0.378
10108,0.283,0.338
10109,0.25,0.309
10110,0.115,0.286
10111,0.135,0.268
10112,0.143,0.258
10113,0.466,0.256
10114,0.361,0.265
10115,0.269,0.3
10116,0.487,0.399
10117,0.448,0.461
10118,0.459,0.465
10119,1.777,0.489
10120,2.206,0.487
10121,0.459,0.446
10122,0.66,0.424
10123,0.463,0.439
10124,0.864,0.481
10125,0.694,0.518
10126,0.55,0.531
10127,0.432,0.526
10128,0.292,0.514
10129,1.007,0.492
10130,0.45,0.453
10131,0.289,0.403
10132,0.286,0.357
10133,0.284,0.323
10134,0.282,0.297
10135,0.281,0.277
10136,0.484,0.262
10137,0.301,0.256
10138,0.171,0.258
10139,0.535,0.277
10140,0.226,0.337
10141,0.184,0.446
10142,0.28,0.461
10143,0.364,0.474
10144,0.938,0.497
10145,0.762,0.468
10146,0.371,0.432
10147,0.531,0.428
10148,0.965,0.458
10149,0.447,0.502
10150,1.002,0.527
10151,0.522,0.53
10152,0.29,0.521
