time_idx,Real,predict
9985,0.09,0.099
9986,0.028,0.071
9987,0.023,0.04
9988,0.022,0.023
9989,0.022,0.018
9990,0.036,0.018
9991,0.029,0.018
9992,0.025,0.017
9993,0.031,0.017
9994,0.031,0.018
9995,0.025,0.02
9996,0.128,0.024
9997,0.033,0.03
9998,0.182,0.038
9999,0.024,0.049
10000,0.026,0.063
10001,0.111,0.091
10002,0.246,0.18
10003,0.3,0.278
10004,0.412,0.217
10005,0.175,0.146
10006,0.112,0.129
10007,0.111,0.121
10008,0.138,0.109
10009,0.135,0.091
10010,0.099,0.066
10011,0.038,0.04
10012,0.034,0.024
10013,0.03,0.019
10014,0.028,0.018
10015,0.028,0.019
10016,0.028,0.018
10017,0.028,0.018
10018,0.027,0.019
10019,0.034,0.021
10020,0.148,0.025
10021,0.029,0.031
10022,0.126,0.04
10023,0.108,0.051
10024,0.106,0.066
10025,0.113,0.104
10026,0.101,0.209
10027,0.329,0.274
10028,1.655,0.188
10029,0.425,0.138
10030,0.116,0.127
10031,0.116,0.117
10032,0.115,0.104
10033,0.182,0.084
10034,0.104,0.058
10035,0.073,0.034
10036,0.045,0.021
10037,0.044,0.018
10038,0.033,0.019
10039,0.036,0.019
10040,0.043,0.018
10041,0.036,0.019
10042,0.031,0.02
10043,0.039,0.022
10044,0.038,0.027
10045,0.157,0.034
10046,0.119,0.043
10047,0.204,0.055
10048,0.11,0.073
10049,0.107,0.128
10050,0.111,0.243
10051,0.849,0.257
10052,0.144,0.165
10053,0.244,0.133
10054,0.107,0.124
10055,0.113,0.114
10056,0.108,0.099
10057,0.12,0.077
10058,0.07,0.05
10059,0.03,0.029
10060,0.025,0.02
10061,0.027,0.018
10062,0.029,0.019
10063,0.029,0.019
10064,0.026,0.018
10065,0.023,0.019
10066,0.024,0.02
10067,0.027,0.023
10068,0.033,0.029
10069,0.207,0.036
10070,0.026,0.046
10071,0.083,0.059
10072,0.039,0.084
10073,0.194,0.161
10074,0.165,0.267
10075,0.262,0.228
10076,0.118,0.15
10077,0.11,0.13
10078,0.134,0.121
10079,0.109,0.11
10080,0.14,0.093
10081,0.12,0.069
10082,0.094,0.043
10083,0.027,0.025
10084,0.026,0.019
10085,0.026,0.018
10086,0.029,0.019
10087,0.03,0.019
10088,0.032,0.018
10089,0.027,0.019
10090,0.025,0.021
10091,0.026,0.025
10092,0.026,0.031
10093,0.149,0.039
10094,0.086,0.05
10095,0.074,0.065
10096,0.036,0.099
10097,0.027,0.198
10098,0.739,0.275
10099,1.552,0.196
10100,0.331,0.14
10101,0.193,0.127
10102,0.114,0.118
10103,0.114,0.105
10104,0.116,0.086
10105,0.116,0.06
10106,0.094,0.036
10107,0.044,0.022
10108,0.043,0.018
10109,0.044,0.018
10110,0.036,0.019
10111,0.034,0.019
10112,0.038,0.019
10113,0.04,0.019
10114,0.035,0.022
10115,0.032,0.026
10116,0.036,0.033
10117,0.161,0.042
10118,0.084,0.054
10119,0.032,0.071
10120,0.029,0.121
10121,0.026,0.235
10122,0.224,0.263
10123,1.164,0.171
10124,0.586,0.134
10125,0.105,0.125
10126,0.103,0.115
10127,0.151,0.1
10128,0.143,0.079
10129,0.135,0.052
10130,0.08,0.03
10131,0.036,0.02
10132,0.027,0.018
10133,0.033,0.019
10134,0.031,0.019
10135,0.029,0.018
10136,0.026,0.019
10137,0.027,0.02
10138,0.214,0.023
10139,0.083,0.028
10140,0.032,0.036
10141,0.028,0.046
10142,0.03,0.058
10143,0.025,0.08
10144,0.063,0.152
10145,0.179,0.262
10146,0.102,0.236
10147,1.287,0.154
10148,0.922,0.13
10149,0.327,0.122
10150,0.165,0.111
10151,0.139,0.094
10152,0.054,0.071
